PP,,PP-PAR,,PP-FORO,,UPN-PP,,PSOE,,PSC,,PSOE-Nca,,PODEMOS,,PODEMOS-COMPROMÍS,,PODEMOS-En Marea-ANOVA-EU,,EN COMÚ,,C's,,ERC-CATSÍ,,DL,,EAJ-PNV,,UP-UPeC,,EH Bildu,,CCa-PNC,,PACMA,asdf,UPYD,asdf,NÓS,asdf,unio.cat,asdf,VOX,asdf,RECORTES CERO-GRUPO VERDE,asdf,MÉS,asdf,GBAI,asdf,PCPE,asdf,EL PI,asdf,CCD,asdf,EB,asdf,FE de las JONS,asdf,PCPC,asdf,SOMVAL,asdf,X IZDA,asdf,PUM+J,asdf,SAIn,asdf,CENTRO MODERADO,asdf,PT,asdf,CANARIAS DECIDE,asdf,P-LIB,asdf,PH,asdf,ARAPV,asdf,EU-eX,asdf,PCOE,asdf,IFem,asdf,EB - AZ,asdf,EZKERRA,asdf,DN,asdf,EN POSITIU,asdf,CILUS,asdf,PREPAL,asdf,CRA,asdf,Ln,asdf,AVANT,asdf,mlgXSÍ,asdf,PLD,asdf,PFyV,asdf,AJU,asdf,Independientes-FIA,asdf,FDEE,asdf,SOLUCIONA,asdf,"JS,PC",asdf,DN,asdf,+MAS+,asdf,OE,asdf
74353,2,,,,,,,95637,2,,,,,39435,1,,,,,,,30776,,,,,,,,11786,,,,,,2385,asdf,1014,asdf,,asdf,,asdf,460,asdf,336,asdf,,asdf,,asdf,307,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,192,asdf,,asdf,,asdf
,,39747,1,,,,,30183,1,,,,,21943,1,,,,,,,19789,,,,,,,,6433,,,,,,792,asdf,833,asdf,,asdf,,asdf,,asdf,249,asdf,,asdf,,asdf,257,asdf,,asdf,,asdf,554,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,114,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
121984,2,,,,,,,148511,3,,,,,48640,,,,,,,,41398,,,,,,,,16771,,,,,,2543,asdf,1287,asdf,,asdf,,asdf,715,asdf,371,asdf,,asdf,,asdf,469,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,198,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,1189,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,711,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
104077,2,,,,,,,74128,1,,,,,51441,1,,,,,,,37902,1,,,,,,,13997,,,,,,1838,asdf,2047,asdf,,asdf,,asdf,745,asdf,482,asdf,,asdf,,asdf,534,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,313,asdf,,asdf,,asdf,922,asdf,1032,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
22360,,,,,,,,,,24668,1,,,,,,,,,30538,1,17897,,44317,1,48289,1,,,,,,,,,1743,asdf,687,asdf,,asdf,4867,asdf,465,asdf,398,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,316,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
67941,2,,,,,,,41973,1,,,,,28073,1,,,,,,,26812,,,,,,,,7423,,,,,,1177,asdf,1361,asdf,,asdf,,asdf,,asdf,360,asdf,,asdf,,asdf,229,asdf,,asdf,,asdf,362,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
86446,2,,,,,,,48772,1,,,,,,,,,39122,1,,,15441,,,,,,,,,,,,,,1633,asdf,971,asdf,7253,asdf,,asdf,,asdf,443,asdf,,asdf,,asdf,421,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,405,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
1210219,13,,,,,,,645645,6,,,,,756257,8,,,,,,,681167,7,,,,,,,190193,2,,,,,28322,asdf,43508,asdf,,asdf,,asdf,22643,asdf,4037,asdf,,asdf,,asdf,1742,asdf,,asdf,,asdf,,asdf,4579,asdf,,asdf,,asdf,4994,asdf,2870,asdf,1137,asdf,,asdf,,asdf,,asdf,1075,asdf,1779,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf
224745,4,,,,,,,208896,3,,,,,132980,2,,,,,,,132586,2,,,,,,,52772,,,,,,8886,asdf,4522,asdf,,asdf,,asdf,1817,asdf,974,asdf,,asdf,,asdf,1029,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,290,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,934,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,409,asdf,,asdf,,asdf,,asdf,,asdf
293943,5,,,,,,,147883,2,,,,,110601,1,,,,,,,128570,2,,,,,,,22767,,,,,,6591,asdf,5442,asdf,,asdf,,asdf,3282,asdf,1268,asdf,,asdf,,asdf,1051,asdf,,asdf,,asdf,1063,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,330,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,,asdf,313,asdf,,asdf
