,,,,,,,,,,,,,,,,PP,,PSOE,,IU-LV,,UPyD,,CiU,,AMAIUR,,EAJ-PNV,,ESQUERRA,,EQUO,,BNG,,CC-NC-PNC,,COMPROMÍS-Q,,PACMA,,FAC,,Eb,,PA,,PxC,,P.R.C.,,GBAI,,PUM+J,,P.C.P.E.,,ANTICAPITALISTAS,,PIRATA.CAT,,UCE,,PH,,ESPAÑA 2000,,SAIn,,RPS,,HARTOS.ORG,,PIRATA,,ANC,,FE de las JONS,,C.D.L.,,PCAS,,UxV,,P-LIB,,PREPAL,,POSI,,D.N.,,PRAO,,Caballas,,C.XXI,,UNIDAD DEL PUEBLO,,CEx,,ANDECHA,,CCD,,ACIMA,,PFyV,,+MAS+,,U.C.I.T.,,DeC,,CYD,,U.R.C.L.,,P.R.D.E.,,INTERNET,,PRE-R,,BASTA YA,,PDYC,,LV-GV,,H.D.,,SXT,,DNE,
Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Castilla - La Mancha          ,19,Guadalajara                                       ,"251,563",549,"177,150","2,420","179,570",342,"134,122",229,"134,351","132,154","130,378","1,776","2,197","71,362",2,"36,589",1,"9,036",0,"9,947",0,0,0,0,0,0,0,0,0,"1,273",0,0,0,0,0,0,0,620,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,45,Toledo                                            ,"697,959",889,"507,241","6,967","514,208",787,"390,716",438,"391,154","384,943","380,521","4,422","6,211","220,474",4,"112,568",2,"22,373",0,"19,089",0,0,0,0,0,0,0,0,0,"2,178",0,0,0,0,0,0,0,"1,473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,5,Ávila                                             ,"171,896",352,"136,353","6,225","142,578",640,"107,056",401,"107,457","105,976","104,743","1,233","1,481","65,600",2,"24,278",1,"4,803",0,"8,217",0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,200,0,174,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,9,Burgos                                            ,"374,826",800,"290,233","12,876","303,109","1,418","216,373",955,"217,328","214,093","210,141","3,952","3,235","116,057",3,"59,878",1,"11,892",0,"16,090",0,0,0,0,0,0,0,0,0,"1,938",0,0,0,0,0,0,0,"1,007",0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,502,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,24,León                                              ,"499,284",739,"410,605","37,103","447,708","3,201","295,749","2,157","297,906","293,290","287,820","5,470","4,616","152,672",3,"100,210",2,"15,598",0,"13,672",0,0,0,0,0,0,0,0,0,"2,154",0,0,0,0,0,0,0,"1,074",0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,502,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,34,Palencia                                          ,"172,510",335,"142,053","5,730","147,783",596,"107,825",366,"108,191","106,547","104,772","1,775","1,644","58,759",2,"33,328",1,"6,259",0,"4,686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,77,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,234,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,37,Salamanca                                         ,"353,619",703,"287,784","24,217","312,001","2,062","216,374","1,197","217,571","214,666","211,443","3,223","2,905","128,887",3,"56,331",1,"9,256",0,"13,276",0,0,0,0,0,0,0,0,0,"1,648",0,0,0,0,0,0,0,584,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0
Castilla y León               ,40,Segovia                                           ,"164,268",330,"121,111","2,370","123,481",278,"94,090",179,"94,269","92,489","91,012","1,477","1,780","52,173",2,"24,780",1,"5,237",0,"6,889",0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,42,Soria                                             ,"95,258",256,"72,581","4,774","77,355",400,"52,238",14,"52,252","51,091","49,796","1,295","1,161","28,063",1,"16,066",1,"2,385",0,"2,190",0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León               ,47,Valladolid                                        ,"533,640",839,"424,998","9,479","434,477","1,207","329,214",796,"330,010","326,333","321,614","4,719","3,677","172,671",3,"94,521",2,"24,223",0,"23,536",0,0,0,0,0,0,0,0,0,"2,161",0,0,0,0,0,0,0,"1,244",0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,380,0,0,0,0,0,167,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
